metric,mean,std,mode,alpha,delay_intensity,target_fraction,runs,run_mode,training_mean_reward,training_reward_history
REV,0.012166666666666668,0.012448660000275901,A,0.05,0,0.0,10,A,,
attacker_blocks,7.3,7.46919600016554,A,0.05,0,0.0,10,A,,
total_blocks,600.0,0.0,A,0.05,0,0.0,10,A,,
fork_rate,0.0,0.0,A,0.05,0,0.0,10,A,,
orphan_blocks,470.6,17.43687025943717,A,0.05,0,0.0,10,A,,
delay_usage_freq,0.0,0.0,A,0.05,0,0.0,10,A,,
delay_cost,0.0,0.0,A,0.05,0,0.0,10,A,,
mean_reward,0.0,0.0,A,0.05,0,0.0,10,A,,
epsilon,0.0,0.0,A,0.05,0,0.0,10,A,,
REV,0.012666666666666665,0.019739038214402184,B,0.05,0,0.0,10,B,,
attacker_blocks,7.6,11.843422928641306,B,0.05,0,0.0,10,B,,
total_blocks,600.0,0.0,B,0.05,0,0.0,10,B,,
fork_rate,0.0,0.0,B,0.05,0,0.0,10,B,,
orphan_blocks,563.5,2.758824226207808,B,0.05,0,0.0,10,B,,
delay_usage_freq,0.0,0.0,B,0.05,0,0.0,10,B,,
delay_cost,258663.64841763786,31155.19873253119,B,0.05,0,0.0,10,B,,
mean_reward,0.0,0.0,B,0.05,0,0.0,10,B,,
epsilon,0.0,0.0,B,0.05,0,0.0,10,B,,
REV,0.004666666666666667,0.007018494087712782,C,0.05,0,0.0,10,C,-0.4158804804207725,"[-0.41819370632083896, -0.4128483439921805, -0.411187393485513, -0.41730207142639925, -0.41864907041488725, -0.4185728412208178, -0.41472659365257125, -0.4155638228529721]"
attacker_blocks,2.8,4.211096452627668,C,0.05,0,0.0,10,C,-0.4158804804207725,"[-0.41819370632083896, -0.4128483439921805, -0.411187393485513, -0.41730207142639925, -0.41864907041488725, -0.4185728412208178, -0.41472659365257125, -0.4155638228529721]"
total_blocks,600.0,0.0,C,0.05,0,0.0,10,C,-0.4158804804207725,"[-0.41819370632083896, -0.4128483439921805, -0.411187393485513, -0.41730207142639925, -0.41864907041488725, -0.4185728412208178, -0.41472659365257125, -0.4155638228529721]"
fork_rate,0.0,0.0,C,0.05,0,0.0,10,C,-0.4158804804207725,"[-0.41819370632083896, -0.4128483439921805, -0.411187393485513, -0.41730207142639925, -0.41864907041488725, -0.4185728412208178, -0.41472659365257125, -0.4155638228529721]"
orphan_blocks,568.9,1.9692073983655907,C,0.05,0,0.0,10,C,-0.4158804804207725,"[-0.41819370632083896, -0.4128483439921805, -0.411187393485513, -0.41730207142639925, -0.41864907041488725, -0.4185728412208178, -0.41472659365257125, -0.4155638228529721]"
delay_usage_freq,0.7395,0.19318009572084813,C,0.05,0,0.0,10,C,-0.4158804804207725,"[-0.41819370632083896, -0.4128483439921805, -0.411187393485513, -0.41730207142639925, -0.41864907041488725, -0.4185728412208178, -0.41472659365257125, -0.4155638228529721]"
delay_cost,260852.1297238019,26966.22905230126,C,0.05,0,0.0,10,C,-0.4158804804207725,"[-0.41819370632083896, -0.4128483439921805, -0.411187393485513, -0.41730207142639925, -0.41864907041488725, -0.4185728412208178, -0.41472659365257125, -0.4155638228529721]"
mean_reward,-0.4073435490974083,0.002868014420191123,C,0.05,0,0.0,10,C,-0.4158804804207725,"[-0.41819370632083896, -0.4128483439921805, -0.411187393485513, -0.41730207142639925, -0.41864907041488725, -0.4185728412208178, -0.41472659365257125, -0.4155638228529721]"
epsilon,0.05,0.0,C,0.05,0,0.0,10,C,-0.4158804804207725,"[-0.41819370632083896, -0.4128483439921805, -0.411187393485513, -0.41730207142639925, -0.41864907041488725, -0.4185728412208178, -0.41472659365257125, -0.4155638228529721]"
REV,0.003666666666666666,0.007568616162633956,no_targeting,0.05,0,0.0,10,no_targeting,-0.2779461232811409,"[-0.3081058393164422, -0.27882018345802057, -0.26798959851878196, -0.2730020932905947, -0.2727118443597491, -0.2756720523288248, -0.27442326486634877, -0.2728441101103649]"
attacker_blocks,2.2,4.541169697580374,no_targeting,0.05,0,0.0,10,no_targeting,-0.2779461232811409,"[-0.3081058393164422, -0.27882018345802057, -0.26798959851878196, -0.2730020932905947, -0.2727118443597491, -0.2756720523288248, -0.27442326486634877, -0.2728441101103649]"
