metric,mean,std,mode,alpha,delay_intensity,target_fraction,n_nodes,asymmetric_delay,partition_prob,propagation_variance,runs,run_mode,training_mean_reward,training_reward_history
REV,0.006333333333333332,0.006168918507773916,A,0.05,0,0.0,100,True,0.2,0.5,5,A,,
attacker_blocks,3.8,3.7013511046643495,A,0.05,0,0.0,100,True,0.2,0.5,5,A,,
total_blocks,600.0,0.0,A,0.05,0,0.0,100,True,0.2,0.5,5,A,,
fork_rate,0.0,0.0,A,0.05,0,0.0,100,True,0.2,0.5,5,A,,
orphan_blocks,514.2,9.20326029187483,A,0.05,0,0.0,100,True,0.2,0.5,5,A,,
delay_usage_freq,0.0,0.0,A,0.05,0,0.0,100,True,0.2,0.5,5,A,,
delay_cost,0.0,0.0,A,0.05,0,0.0,100,True,0.2,0.5,5,A,,
mean_reward,0.0,0.0,A,0.05,0,0.0,100,True,0.2,0.5,5,A,,
epsilon,0.0,0.0,A,0.05,0,0.0,100,True,0.2,0.5,5,A,,
REV,0.028666666666666667,0.00273861278752583,C,0.05,0,0.0,100,True,0.2,0.5,5,C,-1.094304721287449,"[-1.096935617422905, -1.1090954982871652, -1.1112015774731474, -1.0902016608616536, -1.0884784539928951, -1.0870165310956519, -1.084137335987449, -1.0873710951787259]"
attacker_blocks,17.2,1.6431676725154984,C,0.05,0,0.0,100,True,0.2,0.5,5,C,-1.094304721287449,"[-1.096935617422905, -1.1090954982871652, -1.1112015774731474, -1.0902016608616536, -1.0884784539928951, -1.0870165310956519, -1.084137335987449, -1.0873710951787259]"
total_blocks,600.0,0.0,C,0.05,0,0.0,100,True,0.2,0.5,5,C,-1.094304721287449,"[-1.096935617422905, -1.1090954982871652, -1.1112015774731474, -1.0902016608616536, -1.0884784539928951, -1.0870165310956519, -1.084137335987449, -1.0873710951787259]"
fork_rate,0.0,0.0,C,0.05,0,0.0,100,True,0.2,0.5,5,C,-1.094304721287449,"[-1.096935617422905, -1.1090954982871652, -1.1112015774731474, -1.0902016608616536, -1.0884784539928951, -1.0870165310956519, -1.084137335987449, -1.0873710951787259]"
orphan_blocks,581.2,2.6832815729997477,C,0.05,0,0.0,100,True,0.2,0.5,5,C,-1.094304721287449,"[-1.096935617422905, -1.1090954982871652, -1.1112015774731474, -1.0902016608616536, -1.0884784539928951, -1.0870165310956519, -1.084137335987449, -1.0873710951787259]"
delay_usage_freq,0.656,0.04951991742947704,C,0.05,0,0.0,100,True,0.2,0.5,5,C,-1.094304721287449,"[-1.096935617422905, -1.1090954982871652, -1.1112015774731474, -1.0902016608616536, -1.0884784539928951, -1.0870165310956519, -1.084137335987449, -1.0873710951787259]"
delay_cost,670534.5289599631,46868.32960257686,C,0.05,0,0.0,100,True,0.2,0.5,5,C,-1.094304721287449,"[-1.096935617422905, -1.1090954982871652, -1.1112015774731474, -1.0902016608616536, -1.0884784539928951, -1.0870165310956519, -1.084137335987449, -1.0873710951787259]"
mean_reward,-1.087463178832912,0.004883982134174177,C,0.05,0,0.0,100,True,0.2,0.5,5,C,-1.094304721287449,"[-1.096935617422905, -1.1090954982871652, -1.1112015774731474, -1.0902016608616536, -1.0884784539928951, -1.0870165310956519, -1.084137335987449, -1.0873710951787259]"
epsilon,0.05,0.0,C,0.05,0,0.0,100,True,0.2,0.5,5,C,-1.094304721287449,"[-1.096935617422905, -1.1090954982871652, -1.1112015774731474, -1.0902016608616536, -1.0884784539928951, -1.0870165310956519, -1.084137335987449, -1.0873710951787259]"
REV,0.010333333333333335,0.0034156502553198665,A,0.05,1000,0.0,100,True,0.2,0.5,5,A,,
attacker_blocks,6.2,2.04939015319192,A,0.05,1000,0.0,100,True,0.2,0.5,5,A,,
total_blocks,600.0,0.0,A,0.05,1000,0.0,100,True,0.2,0.5,5,A,,
fork_rate,0.0,0.0,A,0.05,1000,0.0,100,True,0.2,0.5,5,A,,
orphan_blocks,510.4,2.8809720581775866,A,0.05,1000,0.0,100,True,0.2,0.5,5,A,,
