metric,mean,std,mode,alpha,delay_intensity,target_fraction,n_nodes,asymmetric_delay,partition_prob,propagation_variance,runs,run_mode,training_mean_reward,training_reward_history
REV,0.0,0.0,A,0.05,0,0.0,30,False,0.0,0.0,5,A,,
attacker_blocks,0.0,0.0,A,0.05,0,0.0,30,False,0.0,0.0,5,A,,
total_blocks,600.0,0.0,A,0.05,0,0.0,30,False,0.0,0.0,5,A,,
fork_rate,0.0,0.0,A,0.05,0,0.0,30,False,0.0,0.0,5,A,,
orphan_blocks,475.0,10.44030650891055,A,0.05,0,0.0,30,False,0.0,0.0,5,A,,
delay_usage_freq,0.0,0.0,A,0.05,0,0.0,30,False,0.0,0.0,5,A,,
delay_cost,0.0,0.0,A,0.05,0,0.0,30,False,0.0,0.0,5,A,,
mean_reward,0.0,0.0,A,0.05,0,0.0,30,False,0.0,0.0,5,A,,
epsilon,0.0,0.0,A,0.05,0,0.0,30,False,0.0,0.0,5,A,,
REV,0.009,0.01299572579307862,C,0.05,0,0.0,30,False,0.0,0.0,5,C,-0.47431400114833927,"[-0.461624653908129, -0.45758764868771, -0.47470089032884455, -0.4797389890771122, -0.47506904100115827, -0.4768385934568131, -0.4821796402798273, -0.4867725524471197]"
attacker_blocks,5.4,7.797435475847171,C,0.05,0,0.0,30,False,0.0,0.0,5,C,-0.47431400114833927,"[-0.461624653908129, -0.45758764868771, -0.47470089032884455, -0.4797389890771122, -0.47506904100115827, -0.4768385934568131, -0.4821796402798273, -0.4867725524471197]"
total_blocks,600.0,0.0,C,0.05,0,0.0,30,False,0.0,0.0,5,C,-0.47431400114833927,"[-0.461624653908129, -0.45758764868771, -0.47470089032884455, -0.4797389890771122, -0.47506904100115827, -0.4768385934568131, -0.4821796402798273, -0.4867725524471197]"
fork_rate,0.0,0.0,C,0.05,0,0.0,30,False,0.0,0.0,5,C,-0.47431400114833927,"[-0.461624653908129, -0.45758764868771, -0.47470089032884455, -0.4797389890771122, -0.47506904100115827, -0.4768385934568131, -0.4821796402798273, -0.4867725524471197]"
orphan_blocks,575.4,2.1908902300206643,C,0.05,0,0.0,30,False,0.0,0.0,5,C,-0.47431400114833927,"[-0.461624653908129, -0.45758764868771, -0.47470089032884455, -0.4797389890771122, -0.47506904100115827, -0.4768385934568131, -0.4821796402798273, -0.4867725524471197]"
delay_usage_freq,0.6166666666666667,0.3147132733845912,C,0.05,0,0.0,30,False,0.0,0.0,5,C,-0.47431400114833927,"[-0.461624653908129, -0.45758764868771, -0.47470089032884455, -0.4797389890771122, -0.47506904100115827, -0.4768385934568131, -0.4821796402798273, -0.4867725524471197]"
delay_cost,254432.32311775404,32111.891770753064,C,0.05,0,0.0,30,False,0.0,0.0,5,C,-0.47431400114833927,"[-0.461624653908129, -0.45758764868771, -0.47470089032884455, -0.4797389890771122, -0.47506904100115827, -0.4768385934568131, -0.4821796402798273, -0.4867725524471197]"
mean_reward,-0.45874740309788564,0.009571378250152054,C,0.05,0,0.0,30,False,0.0,0.0,5,C,-0.47431400114833927,"[-0.461624653908129, -0.45758764868771, -0.47470089032884455, -0.4797389890771122, -0.47506904100115827, -0.4768385934568131, -0.4821796402798273, -0.4867725524471197]"
epsilon,0.05,0.0,C,0.05,0,0.0,30,False,0.0,0.0,5,C,-0.47431400114833927,"[-0.461624653908129, -0.45758764868771, -0.47470089032884455, -0.4797389890771122, -0.47506904100115827, -0.4768385934568131, -0.4821796402798273, -0.4867725524471197]"
REV,0.0,0.0,A,0.05,1000,0.0,30,False,0.0,0.0,5,A,,
attacker_blocks,0.0,0.0,A,0.05,1000,0.0,30,False,0.0,0.0,5,A,,
total_blocks,600.0,0.0,A,0.05,1000,0.0,30,False,0.0,0.0,5,A,,
fork_rate,0.0,0.0,A,0.05,1000,0.0,30,False,0.0,0.0,5,A,,
orphan_blocks,481.2,15.27088733505686,A,0.05,1000,0.0,30,False,0.0,0.0,5,A,,
delay_usage_freq,0.0,0.0,A,0.05,1000,0.0,30,False,0.0,0.0,5,A,,
delay_cost,0.0,0.0,A,0.05,1000,0.0,30,False,0.0,0.0,5,A,,
mean_reward,0.0,0.0,A,0.05,1000,0.0,30,False,0.0,0.0,5,A,,
epsilon,0.0,0.0,A,0.05,1000,0.0,30,False,0.0,0.0,5,A,,
REV,0.01566666666666667,0.020193508307814613,C,0.05,1000,0.0,30,False,0.0,0.0,5,C,-0.6952797368513102,"[-0.8656299123638246, -0.7956665624947047, -0.7493340037610758, -0.6879306884898769, -0.6551544917178709, -0.6268231560594496, -0.6014979819438327, -0.5802010979798463]"
attacker_blocks,9.4,12.116104984688768,C,0.05,1000,0.0,30,False,0.0,0.0,5,C,-0.6952797368513102,"[-0.8656299123638246, -0.7956665624947047, -0.7493340037610758, -0.6879306884898769, -0.6551544917178709, -0.6268231560594496, -0.6014979819438327, -0.5802010979798463]"
total_blocks,600.0,0.0,C,0.05,1000,0.0,30,False,0.0,0.0,5,C,-0.6952797368513102,"[-0.8656299123638246, -0.7956665624947047, -0.7493340037610758, -0.6879306884898769, -0.6551544917178709, -0.6268231560594496, -0.6014979819438327, -0.5802010979798463]"
fork_rate,0.0,0.0,C,0.05,1000,0.0,30,False,0.0,0.0,5,C,-0.6952797368513102,"[-0.8656299123638246, -0.7956665624947047, -0.7493340037610758, -0.6879306884898769, -0.6551544917178709, -0.6268231560594496, -0.6014979819438327, -0.5802010979798463]"
orphan_blocks,575.2,3.420526275297414,C,0.05,1000,0.0,30,False,0.0,0.0,5,C,-0.6952797368513102,"[-0.8656299123638246, -0.7956665624947047, -0.7493340037610758, -0.6879306884898769, -0.6551544917178709, -0.6268231560594496, -0.6014979819438327, -0.5802010979798463]"
delay_usage_freq,0.24233333333333335,0.21277139532058031,C,0.05,1000,0.0,30,False,0.0,0.0,5,C,-0.6952797368513102,"[-0.8656299123638246, -0.7956665624947047, -0.7493340037610758, -0.6879306884898769, -0.6551544917178709, -0.6268231560594496, -0.6014979819438327, -0.5802010979798463]"
delay_cost,365665.3890860051,108840.66411847623,C,0.05,1000,0.0,30,False,0.0,0.0,5,C,-0.6952797368513102,"[-0.8656299123638246, -0.7956665624947047, -0.7493340037610758, -0.6879306884898769, -0.6551544917178709, -0.6268231560594496, -0.6014979819438327, -0.5802010979798463]"
mean_reward,-0.5964271864853414,0.015093663726403021,C,0.05,1000,0.0,30,False,0.0,0.0,5,C,-0.6952797368513102,"[-0.8656299123638246, -0.7956665624947047, -0.7493340037610758, -0.6879306884898769, -0.6551544917178709, -0.6268231560594496, -0.6014979819438327, -0.5802010979798463]"
epsilon,0.05,0.0,C,0.05,1000,0.0,30,False,0.0,0.0,5,C,-0.6952797368513102,"[-0.8656299123638246, -0.7956665624947047, -0.7493340037610758, -0.6879306884898769, -0.6551544917178709, -0.6268231560594496, -0.6014979819438327, -0.5802010979798463]"
REV,0.1796666666666667,0.027623460238636936,A,0.2,0,0.0,30,False,0.0,0.0,5,A,,
attacker_blocks,107.8,16.574076143182157,A,0.2,0,0.0,30,False,0.0,0.0,5,A,,
total_blocks,600.0,0.0,A,0.2,0,0.0,30,False,0.0,0.0,5,A,,
